,Summons Number,Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Issuing Agency,Street Code1,Street Code2,Street Code3,Vehicle Expiration Date,Violation Location,Violation Precinct,Issuer Precinct,Issuer Code,Issuer Command,Issuer Squad,Violation Time,Time First Observed,Violation County,Violation In Front Of Or Opposite,House Number,Street Name,Intersecting Street,Date First Observed,Law Section,Sub Division,Violation Legal Code,Days Parking In Effect    ,From Hours In Effect,To Hours In Effect,Vehicle Color,Unregistered Vehicle?,Vehicle Year,Meter Number,Feet From Curb,Violation Post Code,Violation Description,No Standing or Stopping Violation,Hydrant Violation,Double Parking Violation
8626326,8778031308,HRG2150,NY,PAS,02/05/2020,21,SUBN,JEEP,T,16340,23380,23490,20210402,107.0,107,107,365313,T402,N,1101A,,Q,F,152-07,79th Ave,,0,408,D1,,   Y,1030A,1200A,GY,,2016,,0,H,,,,
4046013,1462323601,GUU9552,NY,PAS,10/11/2019,21,SDN,PONTI,S,72930,23230,23930,20191219,83.0,83,0,534778,KN04,0,1004A,,K,F,1100,PUTNAM AVE,,0,408,D1,,BYBBYBB,0900A,1030A,GRAY,0.0,2004,-,0,,,,,
8400483,4677656733,JNR8499,NY,PAS,01/28/2020,36,SUBN,TOYOT,V,0,0,0,0,,0,0,0,,,0204P,,BK,,,SB OCEAN PKWY @ BEVE,RLEY RD,0,1180,B,T,,,,RD,,2019,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
6967367,8768926704,FMT5604,NY,PAS,11/27/2019,20,SUBN,FORD,T,44890,20890,45290,20191231,1.0,1,1,364011,T105,H,0152P,,NY,F,227,W Broadway,,0,408,I4,, YYYYY,0800A,0600P,WH,,2009,,0,063,,,,
8001746,8748141100,13263ML,NY,COM,01/15/2020,46,VAN,FRUEH,T,0,40404,40404,20200331,26.0,26,26,357737,T103,J,1134A,,NY,F,2090,Adam Clayton Powell,,0,408,C,,YYYYYYY,,,WH,,2012,,0,16,,,,
9890801,8810957362,J155MN,NY,PAS,03/17/2020,20,SUBN,HONDA,T,77130,10330,10430,20211116,68.0,68,68,364925,T302,J,0333P,,K,F,7509,Shore Rd,,0,408,J7,,YYYYYYY,,,WH,,2014,,0,E,,,,
3513972,8767519180,HPM1471,NY,PAS,09/23/2019,37,4DSD,INFIN,T,13610,35510,35530,20210214,20.0,20,20,355672,T103,Q,0827P,0821P,NY,F,2393,Broadway,,0,408,E2,, YYYYYY,0830A,1000P,BK,,2017,,0,C,,,,
1866863,8655946059,UXD2753,VA,PAS,08/25/2019,40,4DSD,TOYOT,T,0,0,0,20210788,46.0,46,46,356975,T201,X,0513A,,BX,I,S,E 172nd St,80ft E/of Wythe Pl,0,408,E2,,YYYYYYY,,,GREY,,0,,4,L,,,,
10155244,8499749033,2704418,IN,PAS,03/05/2020,84,REFG,FRUEH,T,34470,0,0,20200088,10.0,10,10,353494,T501,A,0703A,,NY,I,S,W 35th St,15ft W/of 8th Ave,0,408,C1,,YYYYYYY,,,WHITE,,0,,0,01,,,,
8996281,8583169007,DJD7894,NY,PAS,02/19/2020,14,4DSD,TOYOT,T,78550,74250,74260,20210930,44.0,44,44,330196,T720,B,1036A,,BX,O,1182,Woodycrest Ave,,0,408,C3,, YYYYY,0700A,0600P,WH,,2005,,0,B,,,,
7815961,4677163728,ENR8143,NY,PAS,01/27/2020,36,4DSD,KIA,V,0,0,0,0,,0,0,0,,,0708A,,QN,,,EB HORACE HARDING EX,PRESSWAY @ PECK AVE,0,1180,B,T,,,,RD,,2007,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
1996554,8716737568,HMJ6120,NY,OMS,08/22/2019,20,2DSD,SMART,T,9740,7490,7640,20190930,108.0,108,108,364873,T401,N,0129P,,Q,F,27-17,42nd Rd,,0,408,C,, YYYYY,0800A,0600P,WH,,2017,,0,E,,,,
4706391,8757225242,HLR9924,NY,PAS,09/28/2019,71,SUBN,FORD,T,15710,35430,35450,20210103,20.0,20,20,368530,T103,R,1256P,,NY,F,485,Columbus Ave,,0,408,E9,,YYYYYYY,,,BLACK,,2019,,0,14,,,,
6755832,5108863240,4D98A,NY,OMT,11/08/2019,7,TAXI,TOYOT,V,0,0,0,0,,0,0,0,,,0704P,,MN,,,3RD AVE (N/B) @ 36TH, ST,0,1111,D,T,,,,YW,,2018,,0,,FAILURE TO STOP AT RED LIGHT,,,
3229690,8730247366,12863KA,NY,COM,09/04/2019,20,VAN,FORD,T,18890,10210,10110,88880088,19.0,19,19,354164,T103,H,1122A,,NY,O,217,E 96th St,,0,408,D,, YYYYY,0800A,0600P,WHITE,,2009,,0,29,,,,
2214256,8755373586,JJT3173,NY,PAS,08/12/2019,38,PICK,CHEVR,T,10050,15200,43700,20210409,121.0,121,121,363921,T303,N,0359P,,R,F,293,Port Richmond Ave,,0,408,J6,, YYYYYY,0800A,0700P,RD,,1995,,0,C-PM,,,,
8326452,8816005324,NYP6228,NY,SRN,01/16/2020,21,SUBN,CHRYS,T,5780,5530,5630,20200731,78.0,78,78,362538,T302,M,0737A,,K,F,236,7th Ave,,0,408,C4,, YYYYYY,0730A,0800A,GY,,2012,,0,C1,,,,
397786,8764256637,HUU4069,NY,PAS,07/18/2019,38,SUBN,ACURA,T,28490,54102,28990,20190915,112.0,112,112,352979,T402,E,0102P,,Q,O,108-24,Ascan Ave,,0,408,J6,, YYYYYY,0830A,0700P,BL,,2018,,0,09,,,,
204178,8676931872,HAB2948,NY,PAS,07/02/2019,38,SUBN,CHRYS,T,6380,8880,8930,20210707,66.0,66,66,363497,T302,O,0552P,,K,F,4619,13th Ave,,0,408,J6,, YYYYY,0800A,0700P,GY,,2019,,0,01,,,,
4876967,8777209783,HUL3984,NY,PAS,10/28/2019,21,SUBN,VOLVO,T,0,0,0,20210921,47.0,47,47,367967,T201,Y,1152A,,BX,I,N,Magenta St,20ft E/of Cruger Ave,0,408,D1,, Y,1130A,0100P,GL,,2001,,0,18,,,,
5106504,4671970510,GAK9011,NY,PAS,11/20/2019,36,SUBN,FORD,V,0,0,0,0,,0,0,0,,,0907A,,ST,,,SB RICHMOND RD @ VEN,ICE AVE,0,1180,B,T,,,,WH,,2018,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
865541,8732121672,90346MM,NY,COM,07/09/2019,46,VAN,ISUZU,T,13610,32900,25010,20210430,5.0,5,5,364898,T105,J,0239P,,NY,F,408,Broadway,,0,408,C7,,YYYYYYY,,,WH,,2019,,0,052,,,,
10311212,8748298037,PSCH83,NY,SRF,03/10/2020,38,4DSD,FORD,T,59990,13690,13690,20210630,112.0,112,112,367950,T402,A,0955A,,Q,F,98-11,Queens Blvd,,0,408,I4,, YYYYYY,0900A,0700P,TN,,2005,,0,03,,,,
9705850,5109661509,JBB3112,NY,PAS,02/20/2020,7,4DSD,TOYOT,V,0,0,0,0,,0,0,0,,,1033A,,BK,,,LINDEN BLVD (W/B) @,FOUNTAIN AVE,0,1111,D,T,,,,TN,,1999,,0,,FAILURE TO STOP AT RED LIGHT,,,
5894409,8759877236,T441115C,NY,OMT,11/08/2019,40,SUBN,TOYOT,T,18840,28890,18790,20191231,115.0,115,115,357359,T401,J,1257P,,Q,F,94-16,95th St,,0,408,E2,,YYYYYYY,,,BK,,2015,,10,18,,,,
839762,8724976003,DUP2982,NY,PAS,07/05/2019,21,SUBN,HONDA,T,54090,12590,46190,20210603,104.0,104,104,364870,T402,B,0922A,,Q,F,60-68,Linden St,,0,408,D1,,     Y,0830A,1000A,WH,,2018,,0,28,,,,
5672618,8680627124,80349MM,NY,COM,11/08/2019,14,VAN,FORD,T,18150,25390,27790,88880088,18.0,18,18,367898,MTTF,F,0947A,,NY,F,43,E 58th St,,0,408,C,,YYYYYYY,,,BROWN,,2019,,0,23,,,,
7251657,4674987556,GTT2049,NY,PAS,12/31/2019,36,SUBN,FORD,V,0,10810,0,0,,0,0,0,,,1017A,,QN,,,WB HEMPSTEAD AVE @ 9,8TH AVE,0,1180,B,T,,,,BK,,2014,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
6661928,4672418510,58TZ57,NY,MOT,11/22/2019,36,MCY,KAWAS,V,0,0,0,0,,0,0,0,,,1230P,,BK,,,NB RALPH AVE @ BEVER,LEY RD,0,1180,B,T,,,,BL,,1999,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
6600860,1458831152,48396ME,NY,COM,12/02/2019,14,VAN,FORD,P,10110,18130,18150,20200228,17.0,17,109,346045,T109,0.0,0923A,,NY,F,1100,2ND AVENUE,,0,408,I3,,BBBBBBB,ALL,ALL,WH,0.0,2013,-,0,,,,,
8145970,8779771180,FBF5014,NY,PAS,01/28/2020,38,4DSD,HONDA,T,64790,17790,18040,20200616,103.0,103,103,368538,T402,O,0140P,,Q,F,8832,Sutphin Blvd,,0,408,D,, YYYYYY,0900A,0400P,RD,,2010,,0,14,,,,
9865585,8800866440,HUE5898,NY,PAS,03/09/2020,21,PICK,TOYOT,T,17350,23390,10210,20210801,13.0,13,13,361134,T102,A,0838A,,NY,F,143,E 18th St,,0,408,D1,, Y  Y,0830A,1000A,BK,,2017,,0,A,,,,
5015481,4669996551,JJF3567,NY,PAS,10/28/2019,36,SUBN,ME/BE,V,0,0,0,0,,0,0,0,,,0459P,,QN,,,SB MAIN ST @ 63RD AV,E,0,1180,B,T,,,,GY,,2017,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
7339541,4676531904,HPH6890,NY,PAS,01/20/2020,36,4DSD,CHRYS,V,0,0,0,0,,0,0,0,,,0733A,,ST,,,SB VICTORY BLVD @ ED,DY ST,0,1180,B,T,,,,GY,,2015,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
2261445,8758616081,JFP1612,NY,PAS,08/26/2019,20,PICK,DODGE,T,30790,44890,32590,20210219,1.0,1,1,359605,T101,D,1223P,,NY,F,169,Spring St,,0,408,D,, YYYYY,0800A,0600P,GY,,2019,,0,69,,,,
8868350,4678333423,NYCBEST,NY,OMT,02/06/2020,36,SUBN,CHEVR,V,0,0,0,0,,0,0,0,,,0702A,,MN,,,NB AVE OF THE AMERIC,AS @ WATTS ST,0,1180,B,T,,,,BK,,2015,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
9169678,8757141605,T718611C,NY,OMT,02/25/2020,38,SUBN,INFIN,T,59590,8590,57790,20201031,109.0,109,109,353991,T401,U,0254P,,Q,F,35-15,Prince St,,0,408,I4,, YYYYYY,0900A,0400P,BK,,2018,,0,02,,,,
6314946,4674089633,JKV1270,NY,PAS,12/19/2019,36,SUBN,JEEP,V,0,0,0,0,,0,0,0,,,0248P,,BK,,,SB EASTERN PKWY @ TR,UXTON ST,0,1180,B,T,,,,BL,,2018,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
9993022,4679690306,ECH9675,NY,PAS,02/25/2020,36,4DSD,HONDA,V,0,0,0,0,,0,0,0,,,0129P,,QN,,,EB QUEENS BLVD @ 71S,T RD,0,1180,B,T,,,,BK,,2007,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4547518,8734735628,FBY6355,NY,PAS,10/16/2019,71,PICK,CHEVR,T,34020,26820,26880,20200421,43.0,43,43,366436,T201,A,1150A,,BX,F,1340,Fteley Ave,,0,408,M5,,YYYYYYY,,,MR,,1998,,0,17,,,,
5699727,8698571736,10362V,TX,PAS,11/24/2019,50,SUBN,ROVER,T,0,0,0,20200788,19.0,19,19,370296,T103,H,1238P,,NY,I,E,Madison Ave,0ft S/of E 95th St,0,408,F1,,YYYYYYY,,,GREEN,,0,,0,08,,,,
6104597,8790209588,DJM6462,NY,PAS,11/13/2019,38,SUBN,MERCU,T,73220,27530,29830,20210403,84.0,84,84,347616,T301,F,0412P,,K,F,162,Remsen St,,0,408,I4,, YYYYYY,0900A,0700P,BL,,0,,0,01,,,,
9527236,8820452303,GST5675,NY,PAS,02/17/2020,20,SUBN,HONDA,T,35770,11710,13610,20200820,24.0,24,24,356258,T103,E,0911A,,NY,O,216,W 100th St,,0,408,I4,,YYYYYYY,,,GY,,2011,,0,27,,,,
5339522,8787163901,JEG4068,NY,PAS,11/21/2019,38,SUBN,TOYOT,T,11710,35550,35570,20201203,24.0,24,24,353069,T103,P,0515P,,NY,F,606,Amsterdam Ave,,0,408,I3,, YYYYYY,0900A,0700P,GY,,2016,,0,35,,,,
944791,8741322289,41950JX,NY,COM,07/19/2019,14,VAN,WORKH,T,54580,9140,61090,88880088,109.0,109,109,366577,T401,Q,1155A,,Q,F,39-15,Main St,,0,408,C3,,YYYYYYY,,,BROWN,,2007,,0,50-A,,,,
6947127,8762329388,GCG7417,NY,PAS,12/02/2019,71,SUBN,HONDA,T,8590,0,0,20200925,109.0,109,109,361090,T401,R,1152A,,Q,I,N,35th Ave,55ft W/of Union St,0,408,I3,,YYYYYYY,,,BL,,2012,,0,07,,,,
7443797,8744381980,JHK1303,NY,PAS,12/29/2019,74,4DSD,MASE,T,10210,18070,18090,20210417,18.0,18,18,366459,T106,N,1119A,,NY,F,900,3rd Ave,,0,408,E5,,YYYYYYY,,,BK,,2015,,0,25,,,,
8044713,8760785792,F61KUD,NJ,PAS,01/28/2020,17,SUBN,NISSA,T,0,0,0,88880088,47.0,47,47,366553,T201,D,1010A,,BX,I,E,Capuchin Way,10ft S/of E Gun Hill,0,408,D1,,SCHOOL,0700A,0400P,BLUE,,0,,0,18,,,,
1974039,8721326046,80908MA,NY,COM,08/03/2019,38,VAN,FORD,T,17770,24890,10210,20210331,17.0,17,17,363065,T106,O,1032A,,NY,F,129,E 39th St,,0,408,I3,,      Y,0800A,1000P,BL,,2011,,0,06,,,,
10106913,4681810502,79797ML,NY,COM,03/20/2020,36,PICK,DODGE,V,0,0,0,0,,0,0,0,,,1158A,,BX,,,NB RIVERDALE AVE @ W, 254TH ST,0,1180,B,T,,,,GY,,2007,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
3785159,8524196178,JEJ6250,NY,PAS,10/02/2019,40,4DSD,HYUND,T,0,0,0,20210221,44.0,44,44,361850,T201,X,0555A,,BX,I,E,Marcy Pl,60ft N/of Walton Ave,0,408,D,,YYYYYYY,,,RD,,2018,,0,D,,,,
8029596,8757498453,JCU6374,NY,PAS,01/27/2020,14,SUBN,DODGE,T,17650,10210,10110,20201127,17.0,17,17,367348,T102,M,0214P,,NY,F,236,E 33rd St,,0,408,C,,YYYYYYY,,,RD,,2005,,0,99,,,,
1616235,4660908483,FPF1828,NY,PAS,08/01/2019,36,4DSD,TOYOT,V,0,0,0,0,,0,0,0,,,0712A,,BK,,,SB BOERUM PL @ SCHER,MERHORN ST,0,1180,B,T,,,,WH,,2017,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
1018329,8756359410,A12JGY,NJ,PAS,07/18/2019,21,SUBN,DODGE,T,35030,4081,29650,88880088,20.0,20,20,346357,T103,A,0848A,,NY,O,400,W 63rd St,,0,408,D1,, Y  Y,0800A,0930A,RED,,0,,0,V,,,,
4091370,1463212616,35576PC,NY,IRP,10/04/2019,14,DELV,INTER,P,10810,34050,34070,20191031,10.0,10,0,963641,CTTF,0.0,0913A,,NY,F,94,8TH AVE,,0,408,F1,,YYYYYYB,0700A,1000A,RED,0.0,2019,-,0,,,,,
1957784,8714806666,BXU5103,NY,PAS,08/14/2019,31,4DSD,LEXUS,T,34530,10610,10810,20190824,14.0,14,14,358608,T502,B,0452P,,NY,F,256,W 38th St,,0,408,H1,, YYYYY,0600A,0600P,BLACK,,2014,,0,99,,,,
3225940,8730162336,YARX763,OR,PAS,09/06/2019,47,DELV,FRUEH,T,10210,17630,17650,20190088,17.0,17,17,366514,T102,M,0240P,,NY,F,478,3rd Ave,,0,408,L2,, YYYYYY,0700A,0700P,WHITE,,0,,0,18,,,,
10207295,8558994341,98BF29,NY,MOT,03/12/2020,38,MCY,NS/OT,T,10440,5690,50990,20200430,108.0,108,108,361028,T401,X,0226P,,Q,O,11-45,47th Ave,,0,408,C,, YYYYY,0900A,0700P,BLACK,,0,,0,G,,,,
5649155,8683595729,64156MG,NY,COM,11/06/2019,78,VAN,JEEP,T,21495,18630,16400,20201211,19.0,19,19,361278,T800,A2,0145A,,NY,O,1,Gracie Ter,,0,408,E2,,YYYYYYY,0900P,0500A,BL,,2017,,0,D,,,,
9750074,8715293099,GWV3373,NY,PAS,03/13/2020,21,4DSD,NISSA,T,35880,41730,40230,20210321,63.0,63,63,361845,T302,C,1203P,,K,F,551,E 24th St,,0,408,D1,,     Y,1130A,0100P,BK,,2018,,0,16,,,,
8302432,8809007505,GHJ1922,NY,PAS,01/14/2020,37,SUBN,TOYOT,T,10010,18310,18330,20210624,19.0,19,19,364004,T103,Q,0509P,0449P,NY,F,1229,1st Ave,,0,408,I3,, YYYYYY,0800A,0700P,GY,,2019,,0,10,,,,
9170090,8759471116,BDNQ64,FL,PAS,02/05/2020,21,4DSD,HONDA,T,16340,54580,23040,88880088,107.0,107,107,368639,T402,D,1038A,,Q,F,144-37,79th Ave,,0,408,D1,,   Y,1030A,1200A,PURPL,,0,,0,42,,,,
9215500,8764906048,D99KDR,NJ,PAS,01/31/2020,37,SUBN,SUBAR,T,21350,11750,13015,88880088,1.0,1,1,370747,T105,H,0209P,1036A,NY,F,69,Gold St,,0,408,B,, YYYYYY,0800A,0700P,SILVE,,0,,0,050,,,,
5269743,8753092880,JCK5712,NY,PAS,11/20/2019,16,4DSD,LEXUS,T,27330,0,0,20200814,48.0,48,48,368502,T201,R,1011A,,BX,I,N,E 189th St,5ft W/of 3rd Ave,0,408,F1,, YYYYYY,0700A,0600P,BL,,2017,,0,48,,,,
5569333,5108540206,FCG9963,NY,PAS,10/08/2019,7,SUBN,SUBAR,V,0,0,0,0,,0,0,0,,,0423P,,QN,,,HORACE HARDING EXPWY, (E/B) @ 173RD ST,0,1111,D,T,,,,GY,,2010,,0,,FAILURE TO STOP AT RED LIGHT,,,
803863,8721137950,JBH5843,NY,PAS,07/06/2019,38,SUBN,HONDA,T,15490,28990,59990,20200629,112.0,112,112,366503,T402,G,0519P,,Q,O,110-21,73rd Rd,,0,408,I3,, YYYYYY,0830A,0700P,WH,,2018,,0,05,,,,
6088077,8790000638,JNB4813,NY,PAS,11/22/2019,37,SUBN,HYUND,T,29620,49120,49520,20211016,48.0,48,48,370302,T201,L,0451P,0441P,BX,F,805,E Tremont Ave,,20191122,408,I4,, YYYYYY,0800A,0700P,WH,,2020,,0,33,,,,
8614840,8775223820,HCS6930,NY,PAS,02/21/2020,21,4DSD,NISSA,T,38390,67690,52690,20211208,110.0,110,110,361793,T401,K,1139A,,Q,F,41-06,Case St,,0,408,D1,,     Y,1130A,0100P,WH,,2015,,0,14-A,,,,
815124,8722070485,HKL4917,NY,PAS,07/05/2019,14,2DSD,HONDA,T,17270,10210,10110,20210124,13.0,13,13,369626,T102,M,0336P,,NY,F,230,E 14th St,,0,408,C,,YYYYYYY,,,BK,,2015,,0,99,,,,
7582615,8820900191,HNF1541,NY,PAS,01/19/2020,40,SUBN,BMW,T,36790,10810,13510,20210416,32.0,32,32,365352,T103,M,0810A,,NY,O,304,W 151st St,,0,408,C,,YYYYYYY,,,GY,,2017,,7,H,,,,
5819232,8747329610,AU927Z,NJ,PAS,11/26/2019,14,TRAC,FRUEH,T,34710,10410,10510,88880088,18.0,18,18,367942,T106,P,0110P,,NY,F,23,W 47th St,,0,408,C,,YYYYYYY,,,WHITE,,0,,0,10,,,,
8974492,8500523578,39658ML,NY,COM,02/04/2020,47,DELV,INTER,T,34550,10410,10510,20201130,14.0,14,14,356532,T502,X,1114A,,NY,F,38,W 39th St,,0,408,L2,, YYYYYY,0700A,0700P,RDW,,1993,,0,99,,,,
6835630,8718192506,45157MK,NY,COM,11/29/2019,21,VAN,CHEVR,T,7190,8440,8590,88880088,114.0,114,114,368604,T401,U,1211P,,Q,O,34-09,24th St,,0,408,D1,,     Y,1130A,0100P,WHITE,,2017,,0,24-A,,,,
9575054,4679715935,JMJ2358,NY,PAS,02/25/2020,36,4DSD,BMW,V,0,0,0,0,,0,0,0,,,0844P,,BK,,,SB NOSTRAND AVE @ TI,LDEN AVE,0,1180,B,T,,,,BK,,2011,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
3523653,8772956010,844964D,TX,PAS,09/14/2019,20,4DSD,NISSA,T,24040,18140,51090,20190788,103.0,103,103,366565,T402,G,0333P,,Q,O,90-27,160th St,,0,408,C,,YYYYYYY,,,GREY,,0,,0,18,,,,
1825955,8644074600,NYP6230,NY,SRN,08/05/2019,14,SUBN,CHRYS,T,11010,0,0,20200731,18.0,18,18,358849,MTTF,E,0406P,,NY,I,W,10th Ave,45ft S/of W 43rd St,0,408,M5,, YYYYYY,0400P,0700P,GY,,2012,,0,15,,,,
791427,8715886608,HLD4644,NY,PAS,07/06/2019,71,2DSD,NISSA,T,8640,42490,6940,20210213,114.0,114,114,365341,T401,H,1221P,,Q,O,22-13,35th St,,0,408,I4,,YYYYYYY,,,MR,,2010,,0,35,,,,
792653,8720090833,HGU1165,NY,PAS,07/08/2019,21,SUBN,HONDA,T,11820,15920,73420,20200410,43.0,43,43,361823,T201,O,1223P,,BX,F,1085,Beach Ave,,0,408,D1,, Y  Y,1130A,0100P,WH,,2015,,0,F,,,,
4392851,8647929536,XBKZ23,NJ,PAS,10/10/2019,46,DELV,FRUEH,T,45440,0,0,88880088,1.0,1,1,370253,T101,S,1045A,,NY,I,W,William St,25ft S/of Liberty St,0,408,B,,YYYYYYY,,,WHITE,,0,,0,09,,,,
10276820,8733746163,EMY6213,NY,PAS,02/27/2020,21,4DSD,HONDA,T,35720,62420,20920,20211003,43.0,43,43,364861,T201,H,1141A,,BX,O,1750,Gleason Ave,,0,408,D1,, Y  Y,1130A,0100P,GY,,2009,,0,12,,,,
7152407,8798513643,66623MC,NY,COM,12/24/2019,14,DELV,WORKH,T,31950,0,0,88880088,90.0,90,90,361069,T301,D,0310P,,K,I,N,Debevoise St,15ft W/of Graham Ave,0,408,F1,,YYYYYYY,,,BROWN,,2012,,0,15,,,,
921434,8737864944,EKG9839,NY,PAS,07/13/2019,38,SUBN,BMW,T,58590,10140,10140,20200628,109.0,109,109,356560,T401,G,0937A,,Q,F,45-10,Parsons Blvd,,0,408,C,, YYYYYY,0800A,0700P,WH,,2018,,0,02,,,,
2936937,4666247087,HFB5306,NY,PAS,09/17/2019,36,SUBN,SUBAR,V,0,0,0,0,,0,0,0,,,1009A,,QN,,,SB FRANCIS LEWIS BLV,D @ STATION RD,0,1180,B,T,,,,GY,,2016,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
7927972,8707334059,66168MK,NY,COM,01/07/2020,69,VAN,CHEVR,T,34690,10410,10510,20210424,18.0,18,18,341240,T106,O,1157A,,NY,O,59,W 46th St,,0,408,H1,, YYYYY,1000A,0400P,YW,,1989,,0,17,,,,
